t	x_truth	y_truth	th_truth
5.3130	1.6816	-1.9859	0.0046
5.3130	1.6866	-1.9859	0.0046
5.3130	1.6916	-1.9859	0.0046
5.3660	1.7066	-1.9858	0.0046
5.3660	1.7167	-1.9858	0.0046
5.4170	1.7417	-1.9857	0.0046
5.4670	1.7567	-1.9856	0.0045
5.4670	1.7667	-1.9855	0.0045
5.5250	1.7767	-1.9855	0.0045
5.5250	1.7918	-1.9854	0.0045
5.5250	1.7968	-1.9854	0.0045
5.5820	1.8018	-1.9854	0.0045
5.5820	1.8068	-1.9853	0.0045
5.5820	1.8118	-1.9853	0.0045
5.5820	1.8168	-1.9853	0.0045
5.5820	1.8218	-1.9853	0.0045
5.5820	1.8268	-1.9853	0.0045
5.6410	1.8418	-1.9852	0.0045
5.6410	1.8569	-1.9851	0.0045
5.6920	1.8669	-1.9851	0.0045
5.6920	1.8769	-1.9850	0.0045
5.6920	1.8819	-1.9850	0.0045
5.6990	1.8869	-1.9850	0.0045
5.7080	1.8919	-1.9849	0.0045
5.7480	1.9019	-1.9849	0.0045
5.7480	1.9119	-1.9849	0.0045
5.7980	1.9169	-1.9848	0.0045
5.7980	1.9219	-1.9848	0.0045
5.7980	1.9269	-1.9848	0.0045
5.7980	1.9319	-1.9848	0.0045
5.7980	1.9369	-1.9847	0.0045
5.8450	1.9420	-1.9847	0.0045
5.8450	1.9470	-1.9847	0.0045
5.8450	1.9520	-1.9847	0.0045
5.8450	1.9570	-1.9847	0.0045
5.8480	1.9620	-1.9846	0.0045
5.8580	1.9670	-1.9846	0.0045
5.9080	1.9770	-1.9846	0.0045
5.9080	1.9920	-1.9845	0.0045
5.9620	1.9970	-1.9845	0.0045
5.9620	2.0020	-1.9845	0.0045
5.9620	2.0070	-1.9845	0.0045
5.9620	2.0120	-1.9844	0.0045
5.9620	2.0170	-1.9844	0.0045
6.0170	2.0220	-1.9844	0.0045
6.0170	2.0320	-1.9844	0.0045
6.0170	2.0371	-1.9843	0.0045
6.0170	2.0421	-1.9843	0.0045
6.0620	2.0471	-1.9843	0.0045
6.0620	2.0521	-1.9843	0.0045
6.0620	2.0571	-1.9842	0.0045
6.0620	2.0621	-1.9842	0.0045
6.0620	2.0671	-1.9842	0.0045
6.1150	2.0721	-1.9842	0.0045
6.1150	2.0771	-1.9842	0.0045
6.1150	2.0821	-1.9841	0.0045
6.1150	2.0871	-1.9841	0.0045
6.1150	2.0921	-1.9841	0.0045
6.1690	2.1121	-1.9840	0.0045
6.1690	2.1221	-1.9840	0.0045
6.2240	2.1321	-1.9839	0.0045
6.2240	2.1421	-1.9839	0.0045
6.2240	2.1471	-1.9839	0.0045
6.2290	2.1522	-1.9838	0.0045
6.2390	2.1572	-1.9838	0.0045
6.2950	2.1672	-1.9838	0.0045
6.2950	2.1822	-1.9837	0.0045
6.3470	2.1872	-1.9837	0.0045
6.3470	2.1922	-1.9836	0.0045
6.3470	2.1972	-1.9836	0.0045
6.3470	2.2022	-1.9836	0.0045
6.3470	2.2072	-1.9836	0.0045
6.4030	2.2122	-1.9836	0.0045
6.4030	2.2172	-1.9835	0.0045
6.4030	2.2222	-1.9835	0.0045
6.4030	2.2272	-1.9835	0.0045
6.4030	2.2322	-1.9835	0.0045
6.4030	2.2372	-1.9834	0.0045
6.4600	2.2422	-1.9834	0.0045
6.4600	2.2472	-1.9834	0.0045
6.4600	2.2522	-1.9834	0.0045
6.4600	2.2572	-1.9834	0.0045
6.4600	2.2622	-1.9833	0.0045
6.4600	2.2672	-1.9833	0.0045
6.5150	2.2722	-1.9833	0.0045
6.5150	2.2772	-1.9833	0.0045
6.5150	2.2822	-1.9832	0.0045
6.5150	2.2873	-1.9832	0.0045
6.5150	2.2923	-1.9832	0.0045
6.5190	2.2973	-1.9832	0.0045
6.5290	2.3023	-1.9832	0.0045
6.5780	2.3073	-1.9832	0.0045
6.5780	2.3123	-1.9831	0.0045
6.5780	2.3223	-1.9831	0.0045
6.5780	2.3273	-1.9831	0.0045
6.6350	2.3523	-1.9830	0.0044
6.6880	2.3573	-1.9829	0.0044
6.6880	2.3623	-1.9829	0.0044
6.6880	2.3673	-1.9829	0.0044
6.6880	2.3723	-1.9829	0.0044
6.6880	2.3773	-1.9829	0.0044
6.6880	2.3823	-1.9828	0.0044
6.7500	2.3923	-1.9828	0.0045
6.7500	2.4073	-1.9827	0.0044
6.7500	2.4123	-1.9827	0.0044
6.8120	2.4173	-1.9827	0.0044
6.8120	2.4223	-1.9827	0.0044
6.8120	2.4273	-1.9826	0.0044
6.8120	2.4323	-1.9826	0.0044
6.8120	2.4373	-1.9826	0.0044
6.8120	2.4423	-1.9826	0.0044
6.8690	2.4524	-1.9825	0.0044
6.8690	2.4624	-1.9825	0.0044
6.8690	2.4674	-1.9825	0.0044
6.8700	2.4724	-1.9825	0.0044
6.8790	2.4774	-1.9824	0.0044
6.9380	2.4824	-1.9824	0.0044
6.9380	2.4874	-1.9824	0.0044
6.9380	2.4924	-1.9824	0.0044
6.9380	2.4974	-1.9823	0.0044
6.9380	2.5024	-1.9823	0.0044
6.9380	2.5074	-1.9823	0.0044
6.9950	2.5124	-1.9823	0.0044
6.9950	2.5174	-1.9823	0.0044
6.9950	2.5224	-1.9822	0.0044
6.9950	2.5274	-1.9822	0.0044
6.9950	2.5324	-1.9822	0.0044
7.0000	2.5374	-1.9822	0.0044
7.0080	2.5424	-1.9822	0.0044
7.0500	2.5574	-1.9821	0.0045
7.0500	2.5624	-1.9820	0.0045
7.0970	2.5824	-1.9820	0.0045
7.1500	2.5974	-1.9819	0.0045
7.1500	2.6124	-1.9818	0.0045
7.2000	2.6224	-1.9818	0.0045
7.2000	2.6374	-1.9817	0.0044
7.2080	2.6424	-1.9817	0.0044
7.2180	2.6474	-1.9817	0.0044
7.2640	2.6624	-1.9816	0.0044
7.2640	2.6674	-1.9816	0.0044
7.3250	2.6775	-1.9815	0.0044
7.3250	2.6925	-1.9815	0.0044
7.3250	2.6975	-1.9814	0.0044
7.3740	2.7075	-1.9814	0.0044
7.3740	2.7175	-1.9814	0.0044
7.3740	2.7225	-1.9813	0.0044
7.3770	2.7275	-1.9813	0.0044
7.3880	2.7325	-1.9813	0.0044
7.4320	2.7425	-1.9812	0.0044
7.4320	2.7525	-1.9812	0.0044
7.4790	2.7625	-1.9812	0.0044
7.4790	2.7775	-1.9811	0.0044
7.5280	2.7925	-1.9810	0.0044
7.5280	2.8025	-1.9810	0.0044
7.5750	2.8125	-1.9809	0.0044
7.5750	2.8175	-1.9809	0.0044
7.5750	2.8225	-1.9809	0.0044
7.5780	2.8275	-1.9809	0.0044
7.5880	2.8325	-1.9808	0.0044
7.6390	2.8375	-1.9808	0.0044
7.6390	2.8425	-1.9808	0.0044
7.6390	2.8475	-1.9808	0.0044
7.6390	2.8525	-1.9808	0.0044
7.6390	2.8575	-1.9807	0.0044
7.6980	2.8625	-1.9807	0.0044
7.6980	2.8675	-1.9807	0.0044
7.6980	2.8725	-1.9807	0.0044
7.6980	2.8775	-1.9806	0.0044
7.6980	2.8825	-1.9806	0.0044
7.6980	2.8875	-1.9806	0.0044
7.7580	2.8925	-1.9806	0.0044
7.7580	2.8975	-1.9806	0.0044
7.7580	2.9025	-1.9805	0.0044
7.7580	2.9075	-1.9805	0.0044
7.7580	2.9125	-1.9805	0.0044
7.7580	2.9175	-1.9805	0.0044
7.8160	2.9225	-1.9804	0.0044
7.8160	2.9275	-1.9804	0.0044
7.8160	2.9325	-1.9804	0.0044
7.8160	2.9375	-1.9804	0.0044
7.8160	2.9425	-1.9804	0.0044
7.8260	2.9475	-1.9803	0.0044
7.8320	2.9525	-1.9803	0.0044
7.8860	2.9575	-1.9803	0.0044
7.8860	2.9625	-1.9803	0.0044
7.8860	2.9675	-1.9803	0.0044
7.8860	2.9725	-1.9802	0.0044
7.8860	2.9775	-1.9802	0.0044
7.9500	2.9825	-1.9802	0.0044
7.9500	2.9875	-1.9802	0.0044
7.9500	2.9925	-1.9801	0.0044
7.9500	2.9975	-1.9801	0.0044
7.9500	3.0025	-1.9801	0.0044
7.9500	3.0075	-1.9801	0.0044
7.9500	3.0125	-1.9800	0.0044
8.0120	3.0425	-1.9799	0.0044
8.0190	3.0475	-1.9799	0.0045
8.0340	3.0525	-1.9799	0.0044
8.0820	3.0775	-1.9798	0.0045
8.1460	3.1076	-1.9796	0.0045
8.2110	3.1176	-1.9796	0.0045
8.2110	3.1326	-1.9795	0.0045
8.2110	3.1376	-1.9795	0.0045
8.2110	3.1426	-1.9795	0.0045
8.2670	3.1476	-1.9795	0.0045
8.2670	3.1526	-1.9795	0.0045
8.2670	3.1576	-1.9794	0.0045
8.2670	3.1626	-1.9794	0.0045
8.2670	3.1676	-1.9794	0.0045
8.2740	3.1726	-1.9794	0.0045
8.2820	3.1776	-1.9793	0.0045
8.3410	3.1876	-1.9793	0.0044
8.3410	3.2026	-1.9792	0.0044
8.3410	3.2076	-1.9792	0.0044
8.4000	3.2376	-1.9790	0.0044
8.4590	3.2426	-1.9790	0.0044
8.4590	3.2476	-1.9790	0.0044
8.4590	3.2526	-1.9790	0.0044
8.4590	3.2576	-1.9789	0.0044
8.4590	3.2626	-1.9789	0.0044
8.4590	3.2676	-1.9789	0.0044
8.5160	3.2826	-1.9788	0.0044
8.5160	3.2876	-1.9788	0.0044
8.5160	3.2926	-1.9788	0.0044
8.5200	3.2976	-1.9788	0.0044
8.5290	3.3026	-1.9787	0.0044
8.5800	3.3176	-1.9787	0.0044
8.5800	3.3276	-1.9786	0.0044
8.6390	3.3326	-1.9786	0.0044
8.6390	3.3376	-1.9786	0.0044
8.6390	3.3426	-1.9786	0.0044
8.6390	3.3476	-1.9785	0.0044
8.6390	3.3526	-1.9785	0.0044
8.6390	3.3576	-1.9785	0.0044
8.6890	3.3676	-1.9784	0.0044
8.6890	3.3776	-1.9784	0.0044
8.6890	3.3826	-1.9784	0.0044
8.6980	3.3876	-1.9783	0.0044
8.7080	3.3926	-1.9783	0.0044
8.7360	3.4026	-1.9783	0.0044
8.7930	3.4126	-1.9782	0.0044
8.7930	3.4360	-1.9769	0.0052
8.8370	3.4431	-1.9762	0.0056
8.8370	3.4507	-1.9753	0.0061
8.8370	3.4587	-1.9745	0.0067
8.8370	3.4670	-1.9736	0.0072
8.8380	3.4757	-1.9726	0.0078
8.8490	3.4847	-1.9715	0.0085
8.8840	3.5133	-1.9679	0.0107
8.9270	3.5333	-1.9651	0.0124
8.9270	3.5539	-1.9630	0.0136
8.9750	3.5747	-1.9617	0.0142
8.9750	3.6060	-1.9600	0.0150
9.0140	3.6164	-1.9595	0.0152
9.0140	3.6373	-1.9586	0.0156
9.0140	3.6477	-1.9582	0.0157
9.0180	3.6582	-1.9579	0.0158
9.0280	3.6686	-1.9576	0.0159
9.0720	3.6999	-1.9570	0.0160
9.0720	3.7102	-1.9568	0.0160
9.1230	3.7611	-1.9560	0.0160
9.1790	3.7712	-1.9558	0.0160
9.1790	3.7813	-1.9557	0.0160
9.1790	3.7914	-1.9555	0.0160
9.1790	3.8015	-1.9554	0.0160
9.1790	3.8116	-1.9552	0.0160
9.1790	3.8217	-1.9550	0.0160
9.2370	3.8318	-1.9549	0.0160
9.2370	3.8418	-1.9547	0.0160
9.2370	3.8519	-1.9546	0.0160
9.2370	3.8620	-1.9544	0.0160
9.2370	3.8721	-1.9542	0.0160
9.2380	3.8822	-1.9541	0.0160
9.2520	3.8923	-1.9539	0.0160
9.2980	3.9023	-1.9538	0.0160
9.2980	3.9124	-1.9536	0.0160
9.2980	3.9326	-1.9533	0.0160
9.2980	3.9426	-1.9531	0.0160
9.3420	3.9829	-1.9525	0.0160
9.3490	3.9930	-1.9523	0.0160
9.3580	4.0031	-1.9521	0.0160
9.4050	4.0232	-1.9518	0.0160
9.4050	4.0433	-1.9515	0.0160
9.4460	4.0534	-1.9514	0.0159
9.4460	4.0635	-1.9512	0.0159
9.4460	4.0735	-1.9510	0.0159
9.4460	4.0836	-1.9509	0.0159
9.5020	4.0937	-1.9507	0.0159
9.5020	4.1037	-1.9505	0.0159
9.5020	4.1239	-1.9502	0.0159
9.5020	4.1339	-1.9501	0.0159
9.5020	4.1440	-1.9499	0.0159
9.5620	4.1541	-1.9497	0.0159
9.5620	4.1641	-1.9496	0.0159
9.5620	4.1742	-1.9494	0.0159
9.5620	4.1842	-1.9493	0.0159
9.5620	4.1943	-1.9491	0.0159
9.5620	4.2044	-1.9490	0.0159
9.6120	4.2144	-1.9488	0.0159
9.6120	4.2245	-1.9487	0.0159
9.6120	4.2345	-1.9485	0.0159
9.6120	4.2446	-1.9483	0.0159
9.6120	4.2546	-1.9482	0.0159
9.6190	4.2647	-1.9480	0.0159
9.6280	4.2748	-1.9479	0.0159
9.6750	4.3150	-1.9472	0.0159
9.7220	4.3451	-1.9467	0.0159
9.7220	4.3653	-1.9464	0.0159
9.7630	4.3753	-1.9463	0.0159
9.7630	4.3954	-1.9459	0.0159
9.7630	4.4055	-1.9458	0.0159
9.7690	4.4155	-1.9456	0.0159
9.7780	4.4256	-1.9455	0.0159
