q1	q2	q3	q4	q1d	q2d	q3d	q4d	q1dd	q2dd	q3dd	q4dd	tau1	tau2	tau2	tau4
-0.0010	0.2476	-0.2816	0.0014	0.0008	0.0208	0.1201	-0.0039	-0.0075	-0.0264	-0.1796	0.0118	-218.0340	138294.2386	4297.0048	-3987.4135
-0.0009	0.2478	-0.2804	0.0013	0.0007	0.0204	0.1185	-0.0040	-0.0032	-0.0448	-0.1646	-0.0089	-89.0127	138314.0431	4321.0336	-3962.0901
-0.0009	0.2480	-0.2793	0.0013	0.0007	0.0199	0.1169	-0.0041	-0.0003	-0.0523	-0.1571	-0.0087	-256.1171	138531.8253	4350.2290	-3975.6727
-0.0009	0.2482	-0.2781	0.0013	0.0008	0.0197	0.1151	-0.0039	0.0054	-0.0145	-0.1825	0.0180	-212.3408	138528.3727	4377.4707	-3941.2736
-0.0009	0.2484	-0.2770	0.0012	0.0007	0.0192	0.1135	-0.0039	-0.0059	-0.0509	-0.1528	0.0000	-160.0750	138610.6728	4413.0650	-3953.6196
-0.0009	0.2486	-0.2758	0.0012	0.0007	0.0187	0.1120	-0.0040	-0.0074	-0.0479	-0.1525	-0.0046	-71.5709	138705.8938	4430.3401	-3929.5346
-0.0009	0.2487	-0.2747	0.0011	0.0006	0.0186	0.1103	-0.0038	-0.0016	-0.0114	-0.1754	0.0208	-73.8256	138700.4974	4470.3372	-3923.1203
-0.0009	0.2489	-0.2736	0.0011	0.0007	0.0183	0.1087	-0.0038	0.0040	-0.0301	-0.1534	-0.0049	-175.5434	138711.5823	4515.9541	-3936.0424
-0.0009	0.2491	-0.2726	0.0011	0.0007	0.0179	0.1072	-0.0038	0.0018	-0.0383	-0.1561	0.0016	-116.3662	138785.9948	4549.7913	-3943.3144
-0.0009	0.2493	-0.2715	0.0010	0.0007	0.0177	0.1057	-0.0040	-0.0020	-0.0220	-0.1519	-0.0155	-161.5603	138758.8528	4596.9640	-3936.6622
-0.0009	0.2495	-0.2704	0.0010	0.0007	0.0174	0.1041	-0.0037	0.0015	-0.0340	-0.1555	0.0243	-142.3305	138839.8145	4608.7561	-3933.2686
-0.0009	0.2496	-0.2694	0.0009	0.0007	0.0171	0.1027	-0.0038	-0.0024	-0.0241	-0.1092	-0.0046	-130.1118	138990.2887	4644.3928	-3939.1937
-0.0009	0.2498	-0.2684	0.0009	0.0007	0.0167	0.1012	-0.0038	0.0046	-0.0456	-0.2173	0.0034	-48.3380	138850.7186	4686.2245	-3941.1946
-0.0009	0.2500	-0.2674	0.0009	0.0006	0.0165	0.0998	-0.0039	-0.0061	-0.0219	-0.1380	-0.0119	-171.0349	138932.5050	4705.2983	-3915.9703
-0.0009	0.2502	-0.2661	0.0008	0.0006	0.0160	0.0979	-0.0036	-0.0043	-0.0383	-0.1461	0.0217	-44.1605	139181.9970	4735.1292	-3918.5024
-0.0009	0.2503	-0.2653	0.0008	0.0007	0.0157	0.0969	-0.0038	0.0180	-0.0396	-0.1244	-0.0244	-103.2041	139043.8701	4768.7313	-3914.5983
-0.0008	0.2505	-0.2644	0.0008	0.0006	0.0156	0.0954	-0.0038	-0.0062	-0.0125	-0.1220	0.0025	-93.8551	139128.7196	4792.6991	-3896.4076
-0.0008	0.2506	-0.2635	0.0007	0.0006	0.0154	0.0941	-0.0036	-0.0132	-0.0201	-0.1833	0.0172	-65.6134	139054.0504	4834.8970	-3917.7980
-0.0008	0.2508	-0.2626	0.0007	0.0005	0.0151	0.0929	-0.0036	-0.0072	-0.0363	-0.1280	0.0037	-114.5000	139329.8714	4838.8684	-3892.2407
-0.0008	0.2509	-0.2617	0.0007	0.0005	0.0149	0.0915	-0.0036	0.0046	-0.0162	-0.1365	-0.0034	-65.9985	139268.6116	4872.4406	-3893.4916
-0.0008	0.2511	-0.2607	0.0006	0.0006	0.0146	0.0900	-0.0036	0.0105	-0.0266	-0.1331	0.0066	-59.7641	139433.0667	4896.5090	-3892.3706
-0.0008	0.2512	-0.2599	0.0006	0.0006	0.0144	0.0888	-0.0035	-0.0008	-0.0190	-0.1323	0.0059	-165.7143	139355.4149	4934.3518	-3902.6178
-0.0008	0.2514	-0.2588	0.0005	0.0006	0.0142	0.0872	-0.0034	-0.0008	-0.0187	-0.1323	0.0108	-18.5836	139501.1346	4957.7392	-3889.2429
-0.0008	0.2515	-0.2581	0.0005	0.0006	0.0140	0.0863	-0.0034	-0.0022	-0.0272	-0.1236	-0.0042	-164.4371	139306.7626	4986.3889	-3888.4597
-0.0008	0.2516	-0.2572	0.0005	0.0005	0.0135	0.0852	-0.0035	-0.0101	-0.0451	-0.1092	-0.0059	29.9840	139611.8229	4995.4374	-3883.7127
-0.0008	0.2517	-0.2564	0.0004	0.0006	0.0134	0.0839	-0.0035	0.0097	-0.0112	-0.1296	0.0021	-138.1967	139510.7185	5039.0719	-3888.9438
-0.0008	0.2519	-0.2556	0.0004	0.0006	0.0132	0.0828	-0.0036	-0.0033	-0.0264	-0.1107	-0.0152	-115.6262	139467.0513	5074.4087	-3889.6094
-0.0008	0.2520	-0.2547	0.0004	0.0006	0.0129	0.0815	-0.0034	-0.0016	-0.0220	-0.1246	0.0161	-101.8623	139565.5906	5085.7145	-3876.8228
-0.0008	0.2521	-0.2539	0.0003	0.0005	0.0128	0.0803	-0.0034	-0.0028	-0.0129	-0.0919	0.0037	-59.3574	139646.1676	5113.5735	-3893.4139
-0.0008	0.2523	-0.2531	0.0003	0.0005	0.0125	0.0792	-0.0034	-0.0016	-0.0415	-0.1581	-0.0023	-98.5542	139713.5115	5122.5244	-3866.6717
-0.0008	0.2524	-0.2524	0.0003	0.0005	0.0123	0.0780	-0.0032	-0.0010	-0.0193	-0.1194	0.0210	-135.8828	139753.1388	5156.2434	-3874.2535
-0.0008	0.2525	-0.2514	0.0002	0.0006	0.0121	0.0767	-0.0033	0.0055	-0.0148	-0.1112	-0.0119	-42.2733	139782.2257	5183.1077	-3866.3956
-0.0008	0.2526	-0.2508	0.0002	0.0005	0.0118	0.0759	-0.0033	-0.0067	-0.0351	-0.0963	0.0039	0.5637	139914.2639	5181.9297	-3854.5525
-0.0008	0.2528	-0.2501	0.0002	0.0005	0.0117	0.0748	-0.0032	-0.0008	-0.0095	-0.1166	0.0143	-157.1168	140005.6582	5207.8254	-3856.6446
-0.0007	0.2529	-0.2493	0.0001	0.0005	0.0116	0.0737	-0.0033	0.0021	-0.0143	-0.1083	-0.0128	-141.9445	139786.6184	5246.4424	-3850.8458
-0.0007	0.2530	-0.2485	0.0001	0.0005	0.0113	0.0726	-0.0033	0.0009	-0.0207	-0.0770	-0.0029	-214.8856	139949.6519	5271.5220	-3857.5461
-0.0007	0.2531	-0.2478	0.0001	0.0004	0.0111	0.0716	-0.0033	-0.0224	-0.0258	-0.1423	0.0102	-87.3481	139912.3129	5281.7917	-3837.8673
-0.0007	0.2532	-0.2472	0.0000	0.0005	0.0110	0.0706	-0.0033	0.0169	-0.0095	-0.1112	0.0008	-107.5669	139970.2994	5299.3398	-3832.8583
-0.0007	0.2533	-0.2465	0.0000	0.0005	0.0108	0.0696	-0.0032	-0.0083	-0.0285	-0.1015	0.0065	-39.5194	139966.4461	5336.7053	-3858.7149
-0.0007	0.2534	-0.2458	-0.0000	0.0004	0.0105	0.0686	-0.0032	-0.0058	-0.0230	-0.0944	-0.0002	-113.4382	140097.4830	5344.6742	-3847.3407
-0.0007	0.2535	-0.2451	-0.0001	0.0005	0.0105	0.0676	-0.0032	0.0080	-0.0068	-0.1011	-0.0023	-5.2424	139993.5896	5381.7231	-3848.4093
-0.0007	0.2536	-0.2444	-0.0001	0.0005	0.0102	0.0667	-0.0032	-0.0022	-0.0249	-0.0932	0.0066	-118.4588	140078.0949	5384.7556	-3842.7486
-0.0007	0.2537	-0.2438	-0.0001	0.0006	0.0102	0.0657	-0.0032	0.0124	-0.0033	-0.0961	-0.0083	-183.0993	140080.4808	5412.3248	-3835.2008
-0.0007	0.2538	-0.2431	-0.0002	0.0004	0.0100	0.0647	-0.0031	-0.0152	-0.0143	-0.0997	0.0184	-30.8566	140117.5961	5434.3515	-3845.2970
-0.0007	0.2539	-0.2425	-0.0002	0.0005	0.0098	0.0639	-0.0032	0.0037	-0.0255	-0.0831	-0.0117	-73.6035	140128.8022	5458.3152	-3847.1566
-0.0007	0.2540	-0.2418	-0.0002	0.0005	0.0096	0.0629	-0.0030	0.0054	-0.0178	-0.0970	0.0140	-31.0399	140223.9650	5471.4766	-3842.1685
-0.0007	0.2541	-0.2412	-0.0002	0.0005	0.0096	0.0621	-0.0031	-0.0051	-0.0046	-0.0883	-0.0034	-84.1185	140256.4071	5478.7236	-3825.4540
-0.0007	0.2542	-0.2406	-0.0003	0.0004	0.0094	0.0611	-0.0029	-0.0052	-0.0151	-0.0932	0.0154	-168.2604	140275.0844	5496.1592	-3815.7302
-0.0007	0.2543	-0.2399	-0.0003	0.0004	0.0092	0.0602	-0.0029	0.0018	-0.0191	-0.0857	0.0006	-54.9631	140213.2071	5517.0219	-3823.1179
-0.0007	0.2544	-0.2394	-0.0003	0.0004	0.0091	0.0594	-0.0029	0.0011	-0.0095	-0.0872	-0.0036	-107.7516	140208.3949	5543.2715	-3821.3255
-0.0007	0.2545	-0.2388	-0.0004	0.0004	0.0089	0.0586	-0.0030	-0.0091	-0.0195	-0.0771	-0.0046	-73.5232	140316.7202	5559.6378	-3830.0712
-0.0007	0.2546	-0.2381	-0.0004	0.0005	0.0088	0.0575	-0.0029	0.0090	-0.0097	-0.0913	0.0098	-15.9881	140194.7944	5585.4488	-3832.8253
-0.0007	0.2547	-0.2376	-0.0004	0.0005	0.0087	0.0569	-0.0029	0.0025	-0.0118	-0.0806	-0.0010	16.9737	140264.1500	5608.5370	-3835.7337
