t	x	y	z	p	xd	yd	zd	pd	xdd	ydd	zdd	pdd
4.4190	5.3782	-1.5855	2.2209	-0.2603	-0.3405	-0.9516	0.3035	0.0107	-34.0460	-95.1640	30.3505	1.0731
4.4530	5.3748	-1.5950	2.2239	-0.2602	-0.1003	-0.2789	0.0893	0.0031	-2.9512	-8.2021	2.6276	0.0921
4.4830	5.3644	-1.6233	2.2331	-0.2599	-0.1036	-0.2821	0.0909	0.0032	-3.4528	-9.4030	3.0308	0.1064
4.5180	5.3530	-1.6542	2.2430	-0.2595	-0.1299	-0.3467	0.1119	0.0041	-3.7116	-9.9046	3.1985	0.1173
4.5460	5.3364	-1.6976	2.2570	-0.2590	-0.3776	-0.9879	0.3186	0.0117	-13.4860	-35.2816	11.3789	0.4187
4.5790	5.3258	-1.7250	2.2658	-0.2587	-0.3226	-0.8302	0.2677	0.0101	-9.7744	-25.1580	8.1126	0.3048
4.6060	5.3151	-1.7521	2.2746	-0.2583	-0.2649	-0.6681	0.2161	0.0082	-9.8114	-24.7430	8.0020	0.3022
4.6090	5.3115	-1.7611	2.2775	-0.2582	-1.1953	-2.9876	0.9676	0.0371	-398.4298	-995.8794	322.5206	12.3510
4.6190	5.3079	-1.7700	2.2804	-0.2581	-0.3592	-0.8928	0.2895	0.0110	-35.9195	-89.2849	28.9463	1.1031
4.6510	5.3007	-1.7878	2.2862	-0.2579	-0.2248	-0.5541	0.1798	0.0069	-7.0235	-17.3168	5.6189	0.2156
4.6800	5.2898	-1.8141	2.2947	-0.2575	-0.2502	-0.6047	0.1973	0.0076	-8.6282	-20.8533	6.8041	0.2628
4.7110	5.2753	-1.8487	2.3061	-0.2571	-0.3518	-0.8349	0.2734	0.0106	-11.3475	-26.9310	8.8203	0.3404
