q1_d	q2_d	q3_d	q4_d	q1_a	q2_a	q3_a	q4_a	u1	u2	u2	u4
1.2525	0.7007	-0.8462	1.2790	1.2552	0.6981	-0.9599	1.2772	-2079.1304	93075.2812	-11875.5430	-370.9210
1.2548	0.7010	-0.8436	1.2813	1.2575	0.6981	-0.9599	1.2794	-1780.4661	93554.5781	-5439.2324	-168.1956
1.2571	0.7013	-0.8411	1.2835	1.2597	0.6981	-0.9599	1.2816	-1810.6504	93832.0859	993.6129	-289.6463
1.2593	0.7015	-0.8386	1.2857	1.2618	0.6981	-0.9599	1.2837	-2086.9741	94174.3672	5350.6362	48.9668
1.2614	0.7018	-0.8362	1.2878	1.2638	0.6981	-0.9591	1.2858	-1723.9998	94409.9922	5404.6670	-84.4706
1.2634	0.7020	-0.8339	1.2898	1.2658	0.6981	-0.9575	1.2877	-1695.2911	94847.2188	5306.4600	164.8795
1.2654	0.7022	-0.8317	1.2917	1.2677	0.6981	-0.9552	1.2896	-1613.8260	94692.2578	5491.3926	-121.0062
1.2673	0.7024	-0.8295	1.2936	1.2696	0.6981	-0.9521	1.2915	-1608.9557	95278.5781	5423.5259	-40.6023
1.2691	0.7027	-0.8274	1.2954	1.2713	0.6981	-0.9484	1.2933	-1801.8513	95591.2422	5602.8389	-232.6204
1.2709	0.7028	-0.8253	1.2972	1.2731	0.6981	-0.9441	1.2950	-1882.3958	95922.6016	5423.6377	210.9621
1.2726	0.7030	-0.8233	1.2989	1.2747	0.6981	-0.9393	1.2967	-1645.2876	96288.6641	5534.6953	179.4755
1.2743	0.7032	-0.8214	1.3005	1.2763	0.6981	-0.9341	1.2983	-1640.2440	96655.2422	5648.0825	133.4273
1.2759	0.7034	-0.8195	1.3021	1.2779	0.6981	-0.9285	1.2999	-1666.7887	96951.5391	5786.7427	54.3913
1.2774	0.7035	-0.8177	1.3037	1.2794	0.6981	-0.9226	1.3014	-1777.3203	97238.1719	5839.6616	285.2013
1.2789	0.7037	-0.8159	1.3052	1.2808	0.6981	-0.9164	1.3029	-1535.8601	97497.7969	6201.7256	-172.0598
1.2804	0.7038	-0.8142	1.3066	1.2822	0.6981	-0.9100	1.3043	-1521.2994	97955.0938	5999.3081	494.7235
1.2818	0.7039	-0.8126	1.3080	1.2836	0.6981	-0.9035	1.3056	-2131.2419	98350.5234	6213.4077	387.5249
1.2831	0.7041	-0.8109	1.3094	1.2849	0.6981	-0.8968	1.3070	-1500.7437	98848.2734	6431.0425	77.4779
1.2844	0.7042	-0.8094	1.3107	1.2862	0.6981	-0.8901	1.3083	-1498.4840	99175.5703	6465.4585	365.3622
1.2857	0.7043	-0.8079	1.3120	1.2874	0.6981	-0.8833	1.3095	-1722.1964	99350.5625	6717.9116	176.8393
1.2869	0.7044	-0.8064	1.3132	1.2886	0.6981	-0.8766	1.3107	-1769.3287	99859.9531	6683.2036	400.1559
1.2881	0.7045	-0.8050	1.3144	1.2897	0.6981	-0.8699	1.3118	-1643.6960	99976.4844	6909.8057	259.5737
1.2892	0.7046	-0.8036	1.3155	1.2908	0.6981	-0.8632	1.3129	-1576.7183	100891.6328	6676.3828	681.2166
1.2903	0.7047	-0.8023	1.3166	1.2919	0.6981	-0.8567	1.3140	-1925.3164	101056.6953	7149.5303	430.9864
1.2914	0.7048	-0.8010	1.3177	1.2929	0.6981	-0.8503	1.3151	-1772.4893	101466.2891	7265.6650	445.1791
1.2924	0.7049	-0.7997	1.3188	1.2939	0.6981	-0.8441	1.3161	-1541.4380	102065.7188	7256.8765	447.0872
1.2934	0.7050	-0.7985	1.3198	1.2949	0.6981	-0.8381	1.3170	-1709.3651	102323.4297	7469.8677	560.5441
1.2943	0.7051	-0.7973	1.3207	1.2958	0.6981	-0.8322	1.3180	-1603.6217	102784.6875	7641.9561	481.5162
1.2953	0.7052	-0.7962	1.3217	1.2967	0.6981	-0.8266	1.3189	-1870.4197	103125.9922	7839.4492	388.9784
1.2962	0.7052	-0.7951	1.3226	1.2976	0.6981	-0.8212	1.3198	-1673.0955	103592.6328	7916.3223	321.0089
1.2970	0.7053	-0.7940	1.3235	1.2984	0.6981	-0.8160	1.3206	-1611.3789	104013.0078	8034.2354	395.1465
1.2979	0.7054	-0.7930	1.3243	1.2992	0.6981	-0.8111	1.3214	-1286.8202	104464.1328	7963.7925	703.5911
1.2987	0.7054	-0.7919	1.3252	1.3000	0.6981	-0.8064	1.3222	-1459.6841	104827.5391	8375.8525	179.4846
1.2995	0.7055	-0.7910	1.3260	1.3008	0.6981	-0.8020	1.3230	-1631.9855	105401.9531	8374.9600	286.4463
1.3002	0.7056	-0.7900	1.3267	1.3015	0.6981	-0.7978	1.3237	-1462.9543	105821.2578	8255.7119	721.1999
1.3010	0.7056	-0.7891	1.3275	1.3022	0.6981	-0.7939	1.3245	-1432.4663	106157.7812	8362.9297	958.4486
1.3017	0.7057	-0.7882	1.3282	1.3029	0.6981	-0.7902	1.3252	-1595.4612	106595.0078	8773.6553	238.4568
1.3024	0.7057	-0.7874	1.3289	1.3036	0.6981	-0.7868	1.3258	-1496.7639	107148.6094	8406.6172	983.7595
1.3030	0.7058	-0.7865	1.3296	1.3042	0.6981	-0.7836	1.3265	-1565.0936	107513.0625	8734.0176	630.4042
1.3037	0.7058	-0.7857	1.3303	1.3049	0.6981	-0.7807	1.3271	-1701.7751	107876.7266	9120.0527	122.1092
1.3043	0.7059	-0.7849	1.3309	1.3055	0.6981	-0.7780	1.3278	-1540.0884	108588.6328	8806.7236	691.8051
1.3049	0.7059	-0.7842	1.3315	1.3060	0.6981	-0.7756	1.3284	-1642.2217	108888.8828	8926.4785	533.2024
1.3055	0.7059	-0.7834	1.3321	1.3066	0.6981	-0.7733	1.3290	-1597.6476	109270.4609	8860.3906	1036.5771
1.3060	0.7060	-0.7827	1.3327	1.3071	0.6981	-0.7713	1.3295	-1737.0131	109816.5312	9099.1816	384.3319
1.3066	0.7060	-0.7820	1.3332	1.3077	0.6981	-0.7695	1.3301	-1628.2216	110191.4453	9120.3359	548.3130
1.3071	0.7061	-0.7814	1.3338	1.3082	0.6981	-0.7679	1.3306	-1479.9369	110630.2500	8746.8691	1348.8644
1.3076	0.7061	-0.7807	1.3343	1.3087	0.6981	-0.7665	1.3311	-1506.5082	111173.9531	8969.9814	946.7881
1.3081	0.7061	-0.7801	1.3348	1.3091	0.6981	-0.7653	1.3316	-1380.2776	111579.2109	9156.7598	575.9005
1.3086	0.7062	-0.7795	1.3353	1.3096	0.6981	-0.7642	1.3321	-1771.4177	111999.0078	9317.4131	486.0481
1.3090	0.7062	-0.7789	1.3358	1.3100	0.6981	-0.7633	1.3326	-1513.4525	112558.3672	9178.5049	981.4351
1.3095	0.7062	-0.7783	1.3362	1.3105	0.6981	-0.7625	1.3331	-1538.6567	112879.7422	9419.2246	683.4805
1.3099	0.7062	-0.7778	1.3367	1.3109	0.6981	-0.7619	1.3335	-1302.0703	113409.3125	9174.2627	1011.2672
1.3103	0.7063	-0.7773	1.3371	1.3113	0.6981	-0.7614	1.3340	-1526.9624	113878.1641	9005.9707	1364.3201
1.3107	0.7063	-0.7768	1.3375	1.3117	0.6981	-0.7610	1.3344	-1533.9083	114264.3125	9491.5146	482.2043
